date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019/7/22,22.95,22.97,22.22,22.6,22.9,2249183,50762574,3,0.810098,1,-1.31004,0
2019/7/23,22.62,22.84,22.39,22.52,22.6,1902040,42872012,3,0.685066,1,-0.353982,0
2019/7/24,22.56,22.74,22.46,22.62,22.52,2262848,51178269,3,0.815019,1,0.444051,0
2019/7/25,22.57,22.74,22.47,22.66,22.62,2048648,46350752,3,0.73787,1,0.17683,0
2019/7/26,22.66,22.82,22.53,22.76,22.66,1792385,40662157,3,0.6456,1,0.4413,0
2019/7/29,22.64,22.95,22.47,22.66,22.76,3146458,71329099,3,1.133273,1,-0.439369,0
2019/7/30,22.6,22.96,22.54,22.82,22.66,2588537,59094503,3,0.9323,1,0.7061,0
2019/7/31,22.7,23.45,22.7,23.41,22.82,4097345,95108378,3,1.4758,1,2.5855,0
2019/8/1,23.25,23.41,23.06,23.28,23.41,3321347,77264695,3,1.1963,1,-0.5553,0
2019/8/2,22.77,23.78,22.74,23.58,23.28,4592122,107878261,3,1.654,1,1.2887,0
2019/8/5,23.53,24.28,23.38,23.72,23.58,5950771,142551842,3,2.1433,1,0.5937,0
2019/8/6,23.46,23.87,23.16,23.66,23.72,3749480,88179285,3,1.3505,1,-0.2529,0
2019/8/7,23.86,24.18,23.46,24.01,23.66,3350815,79899032,3,1.2069,1,1.4793,0
2019/8/8,24.01,25.09,24,24.96,24.01,6067902,149874205,3,2.1855,1,3.9567,0
2019/8/9,25,25.86,25,25.49,24.96,7189600,183432471,3,2.5895,1,2.1234,0
2019/8/12,25.49,25.59,24.92,25.41,25.49,4901587,123716428,3,1.7654,1,-0.3138,0
2019/8/13,25.24,25.42,24.84,25.25,25.41,4164935,104539036,3,1.5001,1,-0.6297,0
2019/8/14,25.34,25.45,24.66,24.9,25.25,6813054,170010812,3,2.4539,1,-1.3861,0
2019/8/15,24.51,25.12,24.49,25.01,24.9,5023610,124919953,3,1.8094,1,0.4418,0
2019/8/16,24.99,25.98,24.95,25.44,25.01,7225050,184809150,3,2.6023,1,1.7193,0
2019/8/19,25.4,26.08,25.3,25.66,25.44,7099033,183010862,3,2.5569,1,0.8648,0
2019/8/20,25.62,25.8,25.25,25.5,25.66,3752785,95611928,3,1.3517,1,-0.6235,0
2019/8/21,25.6,25.72,25.08,25.72,25.5,3467439,88257627,3,1.2489,1,0.8627,0
2019/8/22,26.9,28.29,26.84,28.29,25.72,11490828,319373290,3,4.1387,1,9.9922,0
2019/8/23,28.99,29.94,28.66,29.48,28.29,20214731,591739040,3,7.2808,1,4.2064,0
2019/8/26,29.21,30.94,29.21,30.16,29.48,15706164,473339508,3,5.657,1,2.3066,0
2019/8/27,30,30.74,29.91,30.22,30.16,10686909,323115177,3,3.8491,1,0.1989,0
2019/8/28,30.31,30.32,29.56,29.7,30.22,7149716,213356606,3,2.5751,1,-1.7207,0
2019/8/29,29.88,29.95,29.4,29.66,29.7,6292814,186807989,3,2.2665,1,-0.1347,0
2019/8/30,29.61,29.96,29.07,29.33,29.66,5768511,169763943,3,2.0777,1,-1.1126,0
2019/9/2,29.5,29.66,29.15,29.6,29.33,6387274,187891304,3,2.3005,1,0.9206,0
2019/9/3,29.6,29.66,28.41,28.93,29.6,12116172,348585719,3,4.3639,1,-2.2635,0
2019/9/4,28.93,29.17,28.31,28.78,28.93,7525760,215674156,3,2.7106,1,-0.5185,0
2019/9/5,28.87,29.56,28.73,28.8,28.78,9546213,277584374,3,3.4383,1,0.0695,0
2019/9/6,28.9,29.32,28.32,29.2,28.8,6259799,181569357,3,2.2546,1,1.3889,0
2019/9/9,29.6,29.65,28.71,28.98,29.2,6996966,202624604,3,2.5201,1,-0.7534,0
2019/9/10,28.99,30.02,28.75,29.79,28.98,9008643,266611774,3,3.2447,1,2.795,0
2019/9/11,29.36,29.7,28.38,28.55,29.79,7274043,208971523,3,2.6199,1,-4.1625,0
2019/9/12,28.67,28.85,28.03,28.6,28.55,5165208,146411635,3,1.8604,1,0.1751,0
2019/9/16,28.47,28.89,28.25,28.69,28.6,4063844,116384254,3,1.4637,1,0.3147,0
2019/9/17,28.75,28.89,28.08,28.37,28.69,3508359,99715109,3,1.2636,1,-1.1154,0
2019/9/18,28.38,28.67,28.18,28.37,28.37,2814741,79982169,3,1.0138,1,0,0
2019/9/19,28.37,29.38,28.37,28.6,28.37,5733208,165416303,3,2.065,1,0.8107,0
2019/9/20,28.78,28.78,27.96,28.28,28.6,4953200,139827124,3,1.784,1,-1.1189,0
2019/9/23,28.28,28.48,27.35,27.8,28.28,5170531,143749875,3,1.8623,1,-1.6973,0
2019/9/24,28.09,28.55,27.65,27.91,27.8,5946931,166875398,3,2.1419,1,0.3957,0
